#Source Name                       RA                 DEC
PSZ1_G096.89+24.17            18h56m54s          +66d20.1m          284.225 66.335
SPT-CL_J0245-5302              02h45m35.80s       -53d02m16.8s        41.3991666667 -53.038
A2552                         23h11m27s          +03d35.3m          347.8625 3.58833333333
A2744                         00h14m18.9s        -30d23m22s         3.57875 -30.3894444444
A1300                         11h31m54.4s        -19d55m42s         172.976666667 -19.9283333333
RXC_J2003.5–2323               20h03m32.3s         -23d23m30s         300.884583333 -23.3916666667
A1995                         14h52m56.1s        +58d02m56s         223.23375 58.0488888889
A1351                         11h42m30.8s        +58d32m20s         175.628333333 58.5388888889
WHL_J091541.3+251206           09h15m41.8s         +25d11m32s         138.924166667 25.1922222222
PSZ1_G094.00+27.41             18h21m56.7276s      +64d20m55.841s     275.486365 64.3488447222
PSZ1_G108.18–11.53             23h22m28.2499s      +48d44m29.172s     350.617707917 48.7414366667
MACS_J0520.7–1328              05h20m42.0s         -13d28m49s         80.175 -13.4802777778
RXC_J1115.8+0129               11h15m54.0s         +01d29m44s         168.975 1.49555555556
RBS_797                        09h47m12.9s         +76d23m13s         146.80375 76.3869444444
MACS_J1931.8–2634              19h31m49.6s         -26d34m33s         292.956666667 -26.5758333333
MACS_J0308.9+2645              03h08m55.9s         +26d45m38s        47.2329166667 26.7605555556
AS1121                        23h25m13s          -41d12.5m          351.304166667 -41.2083333333
RX_J1532.9+3021                15h32m53.780s       +30d20m59.41s      233.224083333 30.3498361111
MACS_J1752.0+4440              17h52m01.6s         +44d40m46s         268.006666667 44.6794444444
ZwCl_1447.2+2619               14h49m28.2s         +26d07m57s         222.3675 26.1325
ZwCl_0847.2+3617               08h50m12.0s         +36d03m36s         132.55 36.06
MACS_J0949.8+1708              09h49m51.8s         +17d07m05s         147.465833333 17.1180555556
PLCKESZ_G284.99–23.70          07h23m13.3s         -73d27m25s         110.805416667 -73.4569444444
RX_J1720.2+3536                17h20m16.8s         +35d36m27s         260.07 35.6075
GMBCG_J357.91841–08.97978     23h51m45.6599s      -08d58m00.256s      357.940249583 -8.96673777778
MACS_J0416.1–2403             04h16m08.380s        -24d04m20.80s      64.0349166667 -24.0724444444
MACS_J0159.8–0849              01h59m49.4s         -08d50m00s         29.9558333333 -8.83333333333
MACS_J0553.4–3342              05h53m27.200s        -33d42m53.02s      88.3633333333 -33.7147277778
A851                          09h42m58.0s         +46d59m12s       145.741666667 46.9866666667
PSZ1_G262.72–40.92            04h38m17.70s         -54d19m20.7s       69.57375 -54.3224166667
MACS_J0417.5–1154             04h17m34.6s          -11d54m32s         64.3941666667 -11.9088888889
MACS_J2243.3–0935              22h43m21.1s          -09d35m43s        340.837916667 -9.59527777778
MACS_J0329.6–0211              03h29m41.6s          -02d11m47s        52.4233333333 -2.19638888889
RX_J1347.5–1145                13h47m33.5s          -11d45m42s        206.889583333 -11.7616666667
ACT-CL_J0014.9–0057           00h14m54.0s           -00d57m08s        3.725 0.952222222222
CL_0016+16                     00h18m33.84s          +16d26m16.66s    4.641 16.4379611111
MACS_J1149.5+2223              11h49m35.8s          +22d23m55s        177.399166667 22.3986111111
ACT-CL_J0045.2–0152            00h45m12.50s         -01d52m31.6s      11.3020833333 -1.87544444444
MACS_J0717.5+3745              07h17m36.50s         +37d45m23.0s      109.402083333 37.7563888889
MACS_J0025.4–1222              00h25m29.381s        -12d22m37.06s     6.37242083333 -12.3769611111
Phoenix_cluster               23h44m40.87s         -42d41m53.88s      356.170291667 -42.6983
ACT-CL_J0022.2–0036            00h22m13.00s         -00d36m33.8s      5.55416666667 0.609388888889
ACT-CL_J0102–4915              01h02m52.50s         -49d14m58.0s      15.71875 -49.2494444444
RXC_J2351.0–1954               23h51m04.9s          -19d54m48s        357.770416667 -19.9133333333
